題	問題文	配点	正答	解説	選択肢			
第１問	建物所有者が原告となって，賃借人である会社と不動産を占有している代表者個人の両者を被告として建物明渡等請求の訴えを提起する場合に，訴状の附属書類，添付書類として，通常提出する必要がないものはどれか。	1	2		被告である会社の登記事項証明書	被告である代表者個人の住民票	明渡しを求める建物の登記事項証明書	明渡しを求める建物の固定資産評価証明書
第２問	訴訟代理権の範囲に関する次の記述のうち，誤っているものはどれか。	1	3		原告の訴訟代理人は当然にその事件の反訴についても代理権を持つ。	和解をするためには特別委任が必要である。	訴訟代理人は，特別委任がなくても受任事件について復代理人を選任することができる。	訴訟代理人は，特別委任がなくても受任事件について強制執行をすることができる。
第３問	次の訴えのうち，給付の訴えの組合せとして正しいものはどれか。Ａ 貸金請求事件　　Ｂ 建物収去土地明渡請求事件　　Ｃ 所有権移転登記手続請求事件　　Ｄ 債務不存在確認請求事件	1	2		Ａ Ｂ Ｃ Ｄ	Ａ Ｂ Ｃ	Ａ Ｂ	Ａ
第４問	所有者から賃借人に対し，賃料不払いによる賃貸借契約解除に基づく，土地の明渡し及び未払賃料請求の訴えを提起することとなった。訴訟物の価額について，次のうち正しいものはどれか。ただし土地の固定資産評価額は２００万円，賃料の額は１か月１０万円で，提訴時に６か月分が滞納となっている。	1	4		１６０万円	１００万円	６０万円	５０万円
第５問	民事訴訟の管轄裁判所に関する次の記述のうち，誤っているものはどれか。	1	1		当事者間の契約等で合意管轄の定めがあれば，他の裁判所には管轄は生じない。	本来管轄のない裁判所であっても，応訴管轄により管轄が生じることもある。	金銭請求の事件においては，原告の住所地を管轄する裁判所に管轄が生じることがある。	訴額が１４０万円以下の場合には，原則として簡易裁判所の管轄となるが，不動産に関する訴訟は，地方裁判所にも管轄がある。
第６問	訴状の被告への送達が不在による留置期間満了で不送達となった。原告の対応として適切ではないものはどれか。	1	4		在宅の可能性のある休日に郵便が配達されるよう休日送達の上申書を提出する。	被告の勤務先が判明していたので，就業場所への送達の上申書を提出する。	被告の住民票を取り寄せたところ転居していたことが判明したので，転居先への再送達を上申する。	被告の住民票を取り寄せたところ，そもそも住民登録がなされていないことが判明したので，公示送達の申立てをする。
第７問	民事訴訟の終了に関する次の記述のうち，誤っているものはどれか。	1	2		被告が原告の請求を認諾した場合には，認諾調書が作成され訴訟は終了する。	判決が言渡されれば訴訟は終了する。	和解が成立すると和解調書が作成され，訴訟は終了する。	口頭弁論が終結しても，訴訟係属中に原告が訴えを取り下げ，被告がそれに同意すれば訴訟は終了する。
第８問	次のうち，仮執行宣言を付すことができる訴えはどれか。ただし併合する訴えは考慮しないこととする。	1	3		離婚の訴え	登記手続請求の訴え	建物明渡請求の訴え	共有物分割の訴え
第９問	支払督促手続きに関する次の記述のうち，誤っているものはどれか。	1	3	4も正解である	支払督促の発付は，簡易裁判所書記官により行われる。	支払督促に対し，債務者から適法な督促異議の申立てがなされると，通常訴訟に移行する。	支払督促送達後２週間が経過した後，仮執行宣言がなされる前であれば，債務者は督促異議の申立てができる。	債権者が仮執行宣言付支払督促を債務名義として強制執行に着手できるのは，債務者への仮執行宣言付支払督促送達後２週間以内に適法な異議申立てがなされない場合である。
第１０問	次のうち，異議申立ての期間が，送達以外の方法による告知で進行することがあるのはどれか。	1	3		少額訴訟判決	手形・小切手訴訟判決	労働審判	借地非訟事件の決定
第１１問	次のうち，民事保全事件申立書の添付書類に関する記述として，誤っているものはどれか。	1	2		不動産仮差押命令申立書には，目的不動産の価額を証する書面として，通常，固定資産評価証明書を添付する必要がある。	動産仮差押申立書には，仮差押目的動産の目録を添付する必要がある。	債権仮差押命令申立書には，第三債務者が会社や法人であれば，その登記事項証明書（資格証明書）を添付する必要がある。	不動産仮処分命令申立書には，目的不動産の登記があれば登記事項証明書を添付する必要がある。
第１２問	保全執行に関する次の記述のうち，誤っているものはどれか。	1	4		不動産処分禁止の仮処分の執行は，登記所への登記嘱託により行われる。	不動産占有移転禁止の仮処分の執行は，債権者の申立てにて執行官により行われる。	不動産仮差押えの執行は，登記所への登記嘱託により行われる。	動産の仮差押えの執行は，動産占有者に対する仮差押決定正本の送達により行われる。
第１３問	民事保全事件に関する下記の記述について，（ ）内に入れる語句として， もふさわしいものはどれか。	1	3		記	「民事保全事件の申立書には申立ての理由として，（ ）と保全の必要性を記載する必要がある。」	保全の種類	保全の目的
第１４問	民事保全の立担保方法として認められていないものはどれか。	1	2		第三者による担保の提供	不動産に対する担保権設定登記による担保の提供	有価証券の供託による担保の提供	銀行との支払い保証委託契約の締結による担保の提供
第１５問	債務者からの保全命令取消し又は保全執行取消しの手続きに関する次の記述のうち，誤っているものはどれか。	1	4		仮差押解放金は，有価証券で供託することはできない。	仮差押解放金を供託することにより，仮差押の対象となった不動産や債権に対する仮差押の取消申立てをすることができる。	起訴命令を受けた債権者が期間内に訴えを提起し，かつそれを証明する書類を提出した場合は，債務者は保全命令の取消申立てはできない。	保全執行が行われた後，本案訴訟で被告（債務者）が勝訴し，その勝訴判決が確定した場合には，裁判所の職権により保全執行は取り消される。
